name,latitude,longitude,country,code
Honiara International Airport,-9.428,160.054993,SB,HIR
Port Moresby Jacksons International Airport,-9.443380356,147.2200012,PG,POM
Keflavik International Airport,63.985001,-22.6056,IS,KEF
Edmonton International Airport,53.3097,-113.580002,CA,YEG
Halifax / Stanfield International Airport,44.88079834,-63.50859833,CA,YHZ
Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197,CA,YOW
Quebec Jean Lesage International Airport,46.7911,-71.393303,CA,YQB
Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294,CA,YUL
Vancouver International Airport,49.19390106,-123.1839981,CA,YVR
Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868,CA,YWG
Calgary International Airport,51.118822,-114.009933,CA,YYC
St. John's International Airport,47.618599,-52.7519,CA,YYT
Toronto Lester B. Pearson International Airport,43.6772,-79.6306,CA,YYZ
Houari Boumediene Airport,36.693886,3.214531,DZ,ALG
Kotoka International Airport,5.6051898,-0.166786,GH,ACC
Nnamdi Azikiwe International Airport,9.00679,7.26317,NG,ABV
Murtala Muhammed International Airport,6.57737,3.32116,NG,LOS
Diori Hamani International Airport,13.4815,2.18361,NE,NIM
Tunis Carthage International Airport,36.851002,10.2272,TN,TUN
Brussels Airport,50.901402,4.48444,BE,BRU
Berlin Brandenburg Airport,52.362247,13.500672,DE,BER
Frankfurt Airport,50.030241,8.561096,DE,FRA
Hamburg Helmut Schmidt Airport,53.630402,9.98823,DE,HAM
Cologne Bonn Airport,50.865898,7.14274,DE,CGN
Düsseldorf Airport,51.289501,6.76678,DE,DUS
Munich Airport,48.353802,11.7861,DE,MUC
Nuremberg Airport,49.498699,11.078056,DE,NUE
Leipzig/Halle Airport,51.420657,12.232705,DE,LEJ
Stuttgart Airport,48.689899,9.22196,DE,STR
Hannover Airport,52.461102,9.68508,DE,HAJ
Lennart Meri Tallinn Airport,59.413246,24.83264,EE,TLL
Helsinki Vantaa Airport,60.318363,24.963341,FI,HEL
Belfast International Airport,54.65750122,-6.215829849,GB,BFS
Birmingham Airport,52.453899,-1.74803,GB,BHX
Manchester Airport,53.349375,-2.279521,GB,MAN
London Luton Airport,51.874699,-0.368333,GB,LTN
London Gatwick Airport,51.148771,-0.192089,GB,LGW
London Heathrow Airport,51.4706,-0.461941,GB,LHR
Glasgow International Airport,55.871899,-4.43306,GB,GLA
Edinburgh Airport,55.950145,-3.372288,GB,EDI
London Stansted Airport,51.884998,0.235,GB,STN
Amsterdam Airport Schiphol,52.308601,4.76389,NL,AMS
Eindhoven Airport,51.45009995,5.374529839,NL,EIN
Dublin Airport,53.428713,-6.262121,IE,DUB
Shannon Airport,52.702,-8.92482,IE,SNN
Billund Airport,55.740335,9.157019,DK,BLL
Copenhagen Kastrup Airport,55.61790085,12.65600014,DK,CPH
Luxembourg-Findel International Airport,49.6233333,6.2044444,LU,LUX
"Bergen Airport, Flesland",60.2934,5.21814,NO,BGO
"Oslo Airport, Gardermoen",60.193901,11.1004,NO,OSL
"Tromsø Airport, Langnes",69.683296,18.9189,NO,TOS
"Trondheim Airport, Værnes",63.457802,10.924,NO,TRD
"Stavanger Airport, Sola",58.876701,5.63778,NO,SVG
Gdańsk Lech Wałęsa Airport,54.377602,18.4662,PL,GDN
Kraków John Paul II International Airport,50.077702,19.7848,PL,KRK
Warsaw Chopin Airport,52.165699,20.9671,PL,WAW
Göteborg Landvetter Airport,57.6628,12.2798,SE,GOT
Stockholm-Arlanda Airport,59.64849,17.928829,SE,ARN
Riga International Airport,56.923599,23.9711,LV,RIX
Vilnius International Airport,54.634102,25.285801,LT,VNO
Cape Town International Airport,-33.96480179,18.60169983,ZA,CPT
King Shaka International Airport,-29.61444444,31.11972222,ZA,DUR
O.R. Tambo International Airport,-26.1392,28.246,ZA,JNB
Sir Seretse Khama International Airport,-24.555201,25.9182,BW,GBE
King Mswati III International Airport,-26.358611,31.716944,SZ,SHO
Sir Seewoosagur Ramgoolam International Airport,-20.430201,57.683601,MU,MRU
Kenneth Kaunda International Airport,-15.330833,28.452722,ZM,LUN
Roland Garros Airport,-20.890087,55.518894,RE,RUN
Ivato Airport,-18.7969,47.478802,MG,TNR
Quatro de Fevereiro International Airport,-8.85837,13.2312,AO,LAD
São Tomé International Airport,0.378175,6.71215,ST,TMS
Maputo Airport,-25.920799,32.572601,MZ,MPM
Seychelles International Airport,-4.67434,55.521801,SC,SEZ
N'Djamena International Airport,12.1337,15.034,TD,NDJ
Robert Gabriel Mugabe International Airport,-17.931801,31.0928,ZW,HRE
Hosea Kutako International Airport,-22.4799,17.4709,NA,WDH
Ndjili International Airport,-4.38575,15.4446,CD,FIH
Modibo Keita International Airport,12.5335,-7.94994,ML,BKO
Banjul International Airport,13.338,-16.652201,GM,BJL
Fuerteventura Airport,28.4527,-13.8638,ES,FUE
Gran Canaria Airport,27.9319,-15.3866,ES,LPA
César Manrique-Lanzarote Airport,28.945499,-13.6052,ES,ACE
Tenerife Sur Airport,28.0445,-16.5725,ES,TFS
Lungi International Airport,8.61644,-13.1955,SL,FNA
Roberts International Airport,6.23379,-10.3623,LR,ROB
Al Massira Airport,30.322478,-9.412003,MA,AGA
Fes Saïss International Airport,33.927299,-4.97796,MA,FEZ
Rabat-Salé Airport,34.051498,-6.75152,MA,RBA
Mohammed V International Airport,33.3675,-7.58997,MA,CMN
Menara Airport,31.606899,-8.0363,MA,RAK
Tangier Ibn Battuta Airport,35.731741,-5.921459,MA,TNG
Blaise Diagne International Airport,14.670878,-17.072829,SN,DSS
Nouakchott–Oumtounsy International Airport,18.31,-15.969722,MR,NKC
Amílcar Cabral International Airport,16.7414,-22.9494,CV,SID
Nelson Mandela International Airport,14.941126,-23.484728,CV,RAI
Addis Ababa Bole International Airport,8.97789,38.799301,ET,ADD
Djibouti-Ambouli Airport,11.5473,43.1595,DJ,JIB
Cairo International Airport,30.111534,31.396694,EG,CAI
Hurghada International Airport,27.176776,33.796692,EG,HRG
Suhaj Mubarak International Airport,26.342515,31.743017,EG,HMB
Sharm El Sheikh International Airport,27.977272,34.394717,EG,SSH
Juba International Airport,4.87201,31.601101,SS,JUB
Jomo Kenyatta International Airport,-1.319239974,36.92779922,KE,NBO
Moi International Airport,-4.03483,39.5942,KE,MBA
Mitiga International Airport,32.89177,13.287878,LY,MJI
Kigali International Airport,-1.96863,30.1395,RW,KGL
Khartoum International Airport,15.5895,32.5532,SD,KRT
Julius Nyerere International Airport,-6.87811,39.202599,TZ,DAR
Abeid Amani Karume International Airport,-6.22202,39.224899,TZ,ZNZ
Entebbe International Airport,0.042386,32.443501,UG,EBB
Navi Mumbai International Airport,18.988686,73.068523,IN,NMI
Albuquerque International Sunport,35.039976,-106.608925,US,ABQ
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,US,ATL
Austin Bergstrom International Airport,30.197535,-97.662015,US,AUS
Bradley International Airport,41.93851,-72.688066,US,BDL
Nashville International Airport,36.1245,-86.6782,US,BNA
Logan International Airport,42.36197,-71.0079,US,BOS
Buffalo Niagara International Airport,42.940498,-78.732201,US,BUF
Baltimore/Washington International Thurgood Marshall Airport,39.1754,-76.668297,US,BWI
Cleveland Hopkins International Airport,41.411701,-81.8498,US,CLE
Charlotte Douglas International Airport,35.2140007,-80.94309998,US,CLT
John Glenn Columbus International Airport,39.998001,-82.891899,US,CMH
Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,US,CVG
Ronald Reagan Washington National Airport,38.8521,-77.037697,US,DCA
Denver International Airport,39.86169815,-104.6729965,US,DEN
Dallas Fort Worth International Airport,32.896801,-97.038002,US,DFW
Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,US,DTW
Newark Liberty International Airport,40.692501,-74.168701,US,EWR
Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,US,FLL
Washington Dulles International Airport,38.9445,-77.455803,US,IAD
George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,US,IAH
Indianapolis International Airport,39.7173,-86.294403,US,IND
Jacksonville International Airport,30.492469,-81.687813,US,JAX
John F Kennedy International Airport,40.639447,-73.779317,US,JFK
Harry Reid International Airport,36.083361,-115.151817,US,LAS
Los Angeles International Airport,33.942501,-118.407997,US,LAX
LaGuardia Airport,40.777199,-73.872597,US,LGA
Kansas City International Airport,39.2976,-94.713898,US,MCI
Orlando International Airport,28.42939949,-81.30899811,US,MCO
Chicago Midway International Airport,41.785999,-87.752403,US,MDW
Memphis International Airport,35.0424,-89.9767,US,MEM
Miami International Airport,25.79319954,-80.29060364,US,MIA
General Mitchell International Airport,42.947201,-87.896599,US,MKE
Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741,US,MSP
Louis Armstrong New Orleans International Airport,29.993401,-90.258003,US,MSY
San Francisco Bay Oakland International Airport,37.720085,-122.221184,US,OAK
Will Rogers World Airport,35.393388,-97.598248,US,OKC
Eppley Airfield,41.3032,-95.894096,US,OMA
Ontario International Airport,34.056,-117.600998,US,ONT
Chicago O'Hare International Airport,41.9786,-87.9048,US,ORD
Norfolk International Airport,36.895341,-76.201,US,ORF
Palm Beach International Airport,26.683201,-80.095596,US,PBI
Portland International Airport,45.588699,-122.598,US,PDX
Philadelphia International Airport,39.871899,-75.241096,US,PHL
Phoenix Sky Harbor International Airport,33.435302,-112.005905,US,PHX
Pittsburgh International Airport,40.491501,-80.232903,US,PIT
Theodore Francis Green State Airport,41.725038,-71.425668,US,PVD
Portland International Jetport,43.646198,-70.309303,US,PWM
Raleigh Durham International Airport,35.877602,-78.787498,US,RDU
Richmond International Airport,37.505199,-77.319702,US,RIC
Reno Tahoe International Airport,39.4991,-119.767998,US,RNO
Southwest Florida International Airport,26.53619957,-81.75520325,US,RSW
San Diego International Airport,32.73360062,-117.1900024,US,SAN
San Antonio International Airport,29.533701,-98.469803,US,SAT
Savannah Hilton Head International Airport,32.127602,-81.202103,US,SAV
Louisville Muhammad Ali International Airport,38.1744,-85.736,US,SDF
Seattle–Tacoma International Airport,47.447943,-122.310276,US,SEA
Orlando Sanford International Airport,28.77759933,-81.23750305,US,SFB
San Francisco International Airport,37.619806,-122.374821,US,SFO
Norman Y. Mineta San Jose International Airport,37.362452,-121.929188,US,SJC
Salt Lake City International Airport,40.78886,-111.979866,US,SLC
Sacramento International Airport,38.6954,-121.591003,US,SMF
John Wayne Orange County International Airport,33.675701,-117.867996,US,SNA
Sarasota Bradenton International Airport,27.394631,-82.554359,US,SRQ
St. Louis Lambert International Airport,38.748697,-90.370003,US,STL
Syracuse Hancock International Airport,43.11119843,-76.10630035,US,SYR
Tampa International Airport,27.9755,-82.533203,US,TPA
Tulsa International Airport,36.19839859,-95.88809967,US,TUL
Tirana International Airport Mother Teresa,41.4147,19.7206,AL,TIA
Burgas Airport,42.569917,27.515173,BG,BOJ
Sofia Airport,42.696357,23.417671,BG,SOF
Varna Airport,43.232101,27.8251,BG,VAR
Larnaca International Airport,34.875099,33.624901,CY,LCA
Zagreb Franjo Tuđman International Airport,45.742901,16.0688,HR,ZAG
Alicante-Elche Miguel Hernández Airport,38.2822,-0.558156,ES,ALC
Josep Tarradellas Barcelona-El Prat Airport,41.2971,2.07846,ES,BCN
Ibiza Airport,38.872898,1.37312,ES,IBZ
Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,ES,MAD
Málaga-Costa del Sol Airport,36.6749,-4.49911,ES,AGP
Palma de Mallorca Airport,39.551701,2.73881,ES,PMI
Santiago-Rosalía de Castro Airport,42.896301,-8.41514,ES,SCQ
Bordeaux-Mérignac Airport,44.8283,-0.715556,FR,BOD
Toulouse-Blagnac Airport,43.629101,1.36382,FR,TLS
Lyon Saint-Exupéry Airport,45.725996,5.090139,FR,LYS
Marseille Provence Airport,43.438088,5.2125,FR,MRS
Nice-Côte d'Azur Airport,43.658401,7.21587,FR,NCE
Charles de Gaulle International Airport,49.012798,2.55,FR,CDG
Paris-Orly Airport,48.72333,2.37944,FR,ORY
EuroAirport Basel-Mulhouse-Freiburg,47.60068,7.521117,FR,BSL
Athens Eleftherios Venizelos International Airport,37.936401,23.9445,GR,ATH
Heraklion International Nikos Kazantzakis Airport,35.339699,25.1803,GR,HER
Thessaloniki Macedonia International Airport,40.51928,22.970009,GR,SKG
Budapest Liszt Ferenc International Airport,47.43018,19.262393,HU,BUD
Bari Karol Wojtyła International Airport,41.138901,16.760599,IT,BRI
Brindisi Airport,40.6576,17.947001,IT,BDS
Catania-Fontanarossa Airport,37.466801,15.0664,IT,CTA
Falcone–Borsellino Airport,38.175999,13.091,IT,PMO
Cagliari Elmas Airport,39.251499,9.05428,IT,CAG
Milan Malpensa International Airport,45.6306,8.72811,IT,MXP
Milan Bergamo Airport / Antonio Locatelli Air Base,45.670725,9.709223,IT,BGY
Turin Airport,45.200802,7.64963,IT,TRN
Genoa Cristoforo Colombo Airport,44.412039,8.840732,IT,GOA
Bologna Guglielmo Marconi Airport,44.5354,11.2887,IT,BLQ
Verona Villafranca Valerio Catullo Airport,45.394955,10.887303,IT,VRN
Venice Marco Polo Airport,45.505299,12.3519,IT,VCE
Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,IT,FCO
Naples International Airport,40.886002,14.2908,IT,NAP
Pisa International Airport,43.683899,10.3927,IT,PSA
"Florence Airport, Peretola",43.808558,11.202822,IT,FLR
Ljubljana Jože Pučnik Airport,46.223701,14.4576,SI,LJU
Václav Havel Airport Prague,50.100874,14.259911,CZ,PRG
Ben Gurion International Airport,32.011398,34.8867,IL,TLV
Ramon International Airport,29.727009,35.014116,IL,ETM
Malta International Airport,35.857498,14.4775,MT,MLA
Vienna International Airport,48.110298,16.5697,AT,VIE
Faro Airport,37.01440048,-7.965909958,PT,FAO
Madeira International Airport Cristiano Ronaldo,32.697899,-16.7745,PT,FNC
João Paulo II Airport,37.74119949,-25.69790077,PT,PDL
Francisco de Sá Carneiro Airport,41.24810028,-8.681389809,PT,OPO
Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,PT,LIS
Sarajevo International Airport,43.8246,18.331499,BA,SJJ
Bucharest Henri Coandă International Airport,44.572127,26.103396,RO,OTP
Geneva Cointrin International Airport,46.238098,6.10895,CH,GVA
Zürich Airport,47.458056,8.548056,CH,ZRH
Esenboğa International Airport,40.128101,32.995098,TR,ESB
Antalya International Airport,36.898701,30.800501,TR,AYT
Adnan Menderes International Airport,38.2924,27.157,TR,ADB
Dalaman International Airport,36.71310043,28.79249954,TR,DLM
Çukurova International Airport,36.890908,35.070522,TR,COV
Milas Bodrum International Airport,37.250599,27.664301,TR,BJV
Istanbul Sabiha Gökçen International Airport,40.898602,29.3092,TR,SAW
İstanbul Airport,41.261297,28.741951,TR,IST
Skopje International Airport,41.958087,21.622581,MK,SKP
